EXIT DATE;PL/CNTR;RISK/CNTR;DELTA;CONTRACTS;POS PL;EQUITY
25/02/2015;371;0;58750;1;371;301.150,85
26/02/2015;97,77;0;58750;1;97,77;301.248,62
27/02/2015;-594,86;0;58750;1;-594,86;300.653,76
02/03/2015;-1.563,07;0;58750;1;-1.563,07;299.090,69
03/03/2015;-395,98;0;58750;1;-395,98;298.694,71
04/03/2015;-589,27;0;58750;1;-589,27;298.105,44
05/03/2015;-476,9;0;58750;1;-476,9;297.628,54
06/03/2015;-935;0;58750;1;-935;296.693,54
09/03/2015;-186,03;0;58750;1;-186,03;296.507,51
10/03/2015;-1.376,86;0;58750;1;-1.376,86;295.130,65
11/03/2015;-526,03;0;58750;1;-526,03;294.604,62
12/03/2015;-628,13;0;58750;1;-628,13;293.976,49
13/03/2015;-828,38;0;58750;1;-828,38;293.148,11
16/03/2015;-66,87;0;58750;1;-66,87;293.081,24
17/03/2015;139,34;0;58750;1;139,34;293.220,58
18/03/2015;3.525,95;0;58750;1;3.525,95;296.746,53
19/03/2015;560,37;0;58750;1;560,37;297.306,90
20/03/2015;-1.053,41;0;58750;1;-1.053,41;296.253,49
23/03/2015;121,71;0;58750;1;121,71;296.375,20
24/03/2015;-634,42;0;58750;1;-634,42;295.740,78
25/03/2015;1.775,75;0;58750;1;1.775,75;297.516,53
26/03/2015;-361,29;0;58750;1;-361,29;297.155,24
27/03/2015;-593,62;0;58750;1;-593,62;296.561,62
30/03/2015;210,5;0;58750;1;210,5;296.772,12
31/03/2015;866,44;0;58750;1;866,44;297.638,56
01/04/2015;-306,58;0;58750;1;-306,58;297.331,98
02/04/2015;221,04;0;58750;1;221,04;297.553,02
06/04/2015;-718,38;0;58750;1;-718,38;296.834,64
07/04/2015;158;0;58750;1;158;296.992,64
08/04/2015;43,91;0;58750;1;43,91;297.036,55
09/04/2015;-435,67;0;58750;1;-435,67;296.600,88
14/04/2015;-349,05;0;58750;1;-349,05;296.251,83
21/04/2015;433,33;0;58750;1;433,33;296.685,16
22/04/2015;319,71;0;58750;1;319,71;297.004,87
23/04/2015;-105,23;0;58750;1;-105,23;296.899,64
24/04/2015;-873,05;0;58750;1;-873,05;296.026,59
27/04/2015;-294,22;0;58750;1;-294,22;295.732,37
28/04/2015;74,28;0;58750;1;74,28;295.806,65
29/04/2015;1.578,19;0;58750;1;1.578,19;297.384,84
30/04/2015;-614,71;0;58750;1;-614,71;296.770,13
01/05/2015;-641,06;0;58750;1;-641,06;296.129,07
04/05/2015;-617,19;0;58750;1;-617,19;295.511,88
05/05/2015;-328,93;0;58750;1;-328,93;295.182,95
06/05/2015;-1,66;0;58750;1;-1,66;295.181,29
07/05/2015;319,38;0;58750;1;319,38;295.500,67
11/05/2015;202,67;0;58750;1;202,67;295.703,34
12/05/2015;-904,93;0;58750;1;-904,93;294.798,41
13/05/2015;-242,79;0;58750;1;-242,79;294.555,62
14/05/2015;1.232,12;0;58750;1;1.232,12;295.787,74
15/05/2015;412,48;0;58750;1;412,48;296.200,22
19/05/2015;807,05;0;58750;1;807,05;297.007,27
20/05/2015;101,91;0;58750;1;101,91;297.109,18
21/05/2015;89,48;0;58750;1;89,48;297.198,66
25/05/2015;-217,1;0;58750;1;-217,1;296.981,56
